91501,"5,175","5,001"
91502,"3,625","3,831"
91503,94,131
91504,"6,210","6,290"
91505,"7,908","8,314"
91506,"5,267","5,206"
91507,58,79
91508,38,34
91510,169,163
91521,1,2
91522,3,2
91523,8,5
91526,4,
91601,"11,712","12,025"
91602,"3,716","3,724"
91603,231,210
91604,"6,232","6,308"
91605,"20,814","22,003"
91606,"15,454","16,300"
91607,"7,992","8,064"
91608,29,36
91609,66,56
91610,68,62
91611,8,5
91612,16,2
91614,107,139
91615,104,102
91616,29,35
91617,56,46
91618,13,7
91702,"18,211","18,158"
91706,"24,572","25,782"
91711,"5,044","4,972"
91714,16,23
91715,83,82
91716,20,28
91722,"9,937","9,988"
91723,"6,390","6,135"
91724,"7,196","7,336"
91731,"8,330","8,920"
91732,"19,722","20,427"
91733,"13,878","14,280"
91734,157,211
91735,42,35
91740,"8,598","8,079"
91741,"5,610","5,507"
91744,"27,616","29,056"
91745,"11,589","11,341"
91746,"9,060","9,198"
91747,292,285
91748,"5,991","6,049"
91749,25,34
91750,"8,001","7,828"
91754,"7,903","8,246"
91755,"4,524","4,763"
91756,24,33
91759,30,23
91765,"4,638","4,641"
91766,"18,678","19,075"
91767,"16,336","16,642"
91768,"10,850","11,458"
91769,393,348
91770,"13,952","14,416"
91771,15,12
91772,25,22
91773,"8,933","8,731"
91775,"4,355","4,342"
91776,"8,563","9,073"
91778,80,104
91780,"6,798","7,020"
91788,84,91
91789,"5,128","5,228"
91790,"13,160","13,363"
91791,"7,980","8,306"
91792,"7,053","6,945"
91793,238,274
91795,3,2
91797,11,9
91799,2,4
91801,"12,232","12,524"
91802,181,195
91803,"6,532","6,725"
91804,8,13
91841,1,1
93510,"1,733","1,722"
93532,617,560
93534,"25,830","25,623"
93535,"39,024","39,856"
93536,"19,716","19,581"
93539,589,623
93543,"4,178","4,621"
93544,287,292
93550,"33,764","35,359"
93551,"12,686","13,324"
93552,"11,743","12,686"
93553,586,594
93563,28,23
93584,175,220
93586,25,30
93590,438,713
93591,"2,718","2,693"
93599,4,4
91187,,1
90899,,1
91121,,1
91899,,3
