Year,Zipcode,Age_0_4,Age_5_14,Age_15_64,Age_65_84,Age_85_and_Over,Accidents,Total,Alzheimers,Homicide,Cerebrovascular,Cirrhosis,Respiratory,Diabetes,Heart,Hypertension,InfluenzaPneumonia,Suicide,Neoplasms,Nephrosis,Parkinsons
2005,90255,,,65.0,114.0,57.0,13.0,262.0,,,,,12.0,22.0,75.0,0.0,,,53.0,,0.0
2005,90260,0.0,0.0,49.0,70.0,39.0,,176.0,,,,,,,47.0,,,,52.0,,
2005,90261,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2005,90262,0.0,0.0,105.0,89.0,42.0,,256.0,,20.0,15.0,,12.0,11.0,75.0,,,,53.0,,
2005,90266,0.0,,18.0,78.0,62.0,,174.0,,0.0,16.0,,,,40.0,,,,51.0,,
2005,90270,0.0,,11.0,26.0,14.0,,68.0,0.0,,,,,,24.0,,,0.0,14.0,,0.0
2005,90272,0.0,0.0,11.0,80.0,89.0,,188.0,,0.0,17.0,,,,55.0,,,,56.0,,
2005,90274,0.0,0.0,15.0,96.0,69.0,,192.0,,0.0,17.0,,,,65.0,,,,55.0,,
2005,90275,0.0,0.0,23.0,167.0,115.0,,328.0,14.0,0.0,16.0,,16.0,,105.0,,11.0,,85.0,,
2005,90278,0.0,0.0,45.0,91.0,36.0,11.0,186.0,,0.0,,,11.0,,60.0,,,,41.0,,
2005,90280,0.0,0.0,113.0,149.0,78.0,19.0,356.0,,,22.0,15.0,18.0,25.0,86.0,,,,76.0,,
2005,90290,0.0,0.0,0.0,,,,28.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0
2005,90291,0.0,0.0,20.0,50.0,35.0,,129.0,0.0,,,,,,38.0,,,,26.0,0.0,
2005,90292,0.0,0.0,,59.0,27.0,,110.0,,0.0,,,,,21.0,0.0,0.0,,40.0,,
2005,90301,,,75.0,102.0,38.0,,241.0,,,18.0,,17.0,13.0,69.0,,14.0,0.0,47.0,,
2005,90302,0.0,0.0,65.0,51.0,31.0,,161.0,,,12.0,,,,55.0,,,,32.0,,0.0
2005,90303,,,56.0,49.0,27.0,,150.0,,12.0,,,,,34.0,,,,30.0,,0.0
2005,90304,,,29.0,36.0,12.0,,103.0,,,,,,,27.0,,,,24.0,0.0,0.0
2005,90305,0.0,0.0,30.0,74.0,33.0,,153.0,,,,,,,45.0,,,,44.0,,0.0
2005,90402,0.0,0.0,,35.0,39.0,,98.0,,0.0,14.0,,,,31.0,0.0,,,27.0,0.0,
2005,90403,0.0,0.0,12.0,87.0,67.0,,182.0,,,17.0,,,,44.0,,,,45.0,,
2005,90404,0.0,0.0,19.0,66.0,88.0,,190.0,,,23.0,,,,52.0,,11.0,,32.0,,
2005,90405,0.0,0.0,27.0,55.0,81.0,,177.0,13.0,,14.0,,,,51.0,,11.0,,38.0,,0.0
2005,90501,0.0,0.0,39.0,105.0,55.0,,219.0,,,18.0,,18.0,,61.0,,,,61.0,,
2005,90502,,0.0,33.0,69.0,30.0,,138.0,,0.0,16.0,,,,40.0,,,,30.0,,
2005,90503,,0.0,34.0,135.0,111.0,,293.0,,0.0,27.0,,16.0,,87.0,,20.0,,62.0,,
2005,90504,0.0,0.0,29.0,113.0,54.0,,206.0,,0.0,11.0,0.0,12.0,,68.0,,,,58.0,,
2005,90505,0.0,0.0,50.0,125.0,98.0,12.0,285.0,,0.0,21.0,,14.0,,97.0,,,,67.0,,
2005,90506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90601,,0.0,42.0,74.0,72.0,,200.0,,,,,13.0,14.0,54.0,,14.0,,44.0,0.0,0.0
2005,90602,0.0,,41.0,71.0,52.0,,180.0,,,13.0,,12.0,,52.0,0.0,,,40.0,,0.0
